,DATETIME,AVERAGE_SALE_NEAR,TOTAL_SALE_NEAR,TOTAL_TX,CHEAPEST_NFT,MOST_EXPENSIVE_NFT
0,2022-06-13,77.44138,387.2069,5,72.0,85.0
1,2022-02-04,108.209607843,5518.69,51,0.1,175.0
2,2022-06-29,98.6,493.0,5,85.0,120.0
3,2022-05-31,102.125,408.5,4,90.0,115.0
4,2022-06-12,81.4225,325.69,4,76.69,89.0
5,2022-06-06,82.1,82.1,1,82.1,82.1
6,2022-06-08,80.0,160.0,2,78.0,82.0
7,2022-02-01,52.182199828,3026.56759,58,42.69,107.69
8,2022-08-17,45.0,45.0,1,45.0,45.0
9,2022-08-12,59.996666667,179.99,3,56.0,65.0
10,2022-07-24,68.833333333,413.0,6,60.0,75.5
11,2022-02-21,86.084230769,2238.19,26,75.0,120.0
12,2022-04-09,55.215833333,662.59,12,39.9,145.0
13,2022-02-23,120.421,2408.42,20,69.0,785.0
14,2022-02-13,206.497466667,9292.386,45,105.0,800.0
15,2022-06-14,79.475,317.9,4,75.0,86.0
16,2022-05-08,95.0,190.0,2,90.0,100.0
17,2022-03-05,50.809615385,1321.05,26,43.0,67.89
18,2022-05-17,106.171166667,637.027,6,98.0,135.0
19,2022-06-15,80.6,403.0,5,76.0,87.0
20,2022-08-30,50.0,50.0,1,50.0,50.0
21,2022-02-02,92.107664234,12618.75,137,52.0,500.0
22,2022-05-07,102.2,408.8,4,96.0,115.0
23,2022-08-06,123.333333333,370.0,3,76.0,199.0
24,2022-03-24,50.75,203.0,4,45.0,60.0
25,2022-02-26,75.393,753.93,10,69.0,94.99
26,2022-08-18,53.0,106.0,2,51.0,55.0
27,2022-07-22,75.0,75.0,1,75.0,75.0
28,2022-05-28,98.36,491.8,5,90.0,122.0
29,2022-01-26,30.953255969,24112.5864,779,0.1,267.0
30,2022-03-03,68.808908333,825.7069,12,45.0,250.0
31,2022-08-11,72.0,144.0,2,56.0,88.0
32,2022-06-20,100.996666667,302.99,3,88.0,120.0
33,2022-07-07,77.0,231.0,3,74.0,80.0
34,2022-05-09,103.6925,414.77,4,90.0,137.77
35,2022-06-05,87.5,175.0,2,85.0,90.0
36,2022-04-13,58.425454545,642.68,11,51.0,81.99
37,2022-03-16,75.912307692,986.86,13,57.0,180.0
38,2022-07-20,101.5,203.0,2,88.0,115.0
39,2022-02-17,105.1186,3679.151,35,88.0,175.0
40,2022-02-10,154.174231167,3083.484623331,20,99.987654321,666.0
41,2022-08-24,46.0,92.0,2,44.0,48.0
42,2022-07-09,82.0,82.0,1,82.0,82.0
43,2022-08-26,49.685714286,347.8,7,46.9,55.0
44,2022-05-20,105.0,315.0,3,102.0,108.0
45,2022-02-18,110.4,1656.0,15,97.0,170.0
46,2022-01-31,63.027361491,10147.4052,161,0.1,300.0
47,2022-04-15,53.334285714,746.68,14,49.69,64.0
48,2022-05-27,92.5,370.0,4,92.0,93.0
49,2022-04-25,126.5,1518.0,12,90.0,250.0
50,2022-08-13,57.245,114.49,2,54.5,59.99
51,2022-04-07,52.071428571,364.5,7,36.0,90.0
52,2022-08-09,60.0,60.0,1,60.0,60.0
53,2022-03-06,75.012142833,3150.509999,42,58.0,222.0
