,DATETIME,AVERAGE_SALE_NEAR,TOTAL_SALE_NEAR,TOTAL_TX,CHEAPEST_NFT,MOST_EXPENSIVE_NFT
0,2022-01-19,8.950666667,402.78,45,6.0,15.0
1,2022-04-19,19.968666667,898.59,45,16.0,39.0
2,2022-07-10,34.59,172.95,5,29.0,55.0
3,2022-05-28,32.125,128.5,4,28.0,39.5
4,2022-06-03,36.833333333,110.5,3,35.0,39.5
5,2022-02-18,44.424860465,1910.269,43,35.0,77.0
6,2022-01-20,7.95,508.8,64,4.9,27.0
7,2022-04-07,12.991,129.91,10,10.8,22.0
8,2022-05-20,27.5,82.5,3,26.5,28.0
9,2022-01-26,16.490948864,2902.407,176,2.0,100.0
10,2022-06-08,32.4,97.2,3,30.2,35.0
11,2022-06-06,39.961538462,519.5,13,33.0,55.0
12,2022-01-18,10.017941176,340.61,34,7.0,19.0
13,2022-03-03,34.844,174.22,5,22.0,60.0
14,2022-06-12,33.331666667,199.99,6,30.0,36.0
15,2022-01-21,7.624142857,533.69,70,5.0,26.0
16,2022-06-14,36.116666667,216.7,6,31.0,40.0
17,2022-02-13,54.384642857,4568.31,84,39.9,250.0
18,2022-05-08,31.63,94.89,3,30.9,32.0
19,2022-02-23,48.255555556,434.3,9,34.4,150.0
20,2022-06-13,40.583333333,243.5,6,33.0,59.0
21,2022-02-01,27.116206897,2359.11,87,22.99,50.0
22,2022-06-01,37.442105263,711.4,19,29.5,100.0
23,2022-04-30,34.025454545,374.28,11,31.0,36.0
24,2022-04-05,15.043333333,135.39,9,11.0,22.0
25,2022-03-06,21.316666667,255.8,12,18.4,40.0
26,2022-06-26,35.333333333,106.0,3,28.0,48.0
27,2022-07-21,23.6,70.8,3,22.0,24.8
28,2022-03-21,30.225,241.8,8,18.0,100.0
29,2022-02-06,27.020208333,1296.97,48,0.0,65.0
30,2022-02-20,36.8608,921.52,25,29.0,55.0
31,2022-02-24,35.31,459.03,13,30.0,64.88
32,2022-05-03,43.585263158,828.12,19,33.33,125.0
33,2022-02-16,41.327222222,743.89,18,33.5,100.0
34,2022-03-13,19.428571429,136.0,7,16.5,28.0
35,2022-06-16,35.941666667,431.3,12,30.0,49.0
36,2022-02-10,33.8076,845.19,25,29.9,49.0
37,2022-02-17,50.3934375,1612.59,32,32.5,260.0
38,2022-03-05,25.116666667,301.4,12,18.9,55.0
39,2022-07-09,35.12,140.48,4,29.0,50.0
40,2022-06-15,35.428571429,248.0,7,20.0,55.0
41,2022-05-17,29.5,118.0,4,27.0,32.0
42,2022-01-27,20.343009709,2095.33,103,12.5,86.4
43,2022-02-07,28.487083333,683.69,24,20.0,45.0
44,2022-04-26,41.270833333,990.5,24,30.0,150.0
45,2022-05-02,38.384347826,882.84,23,35.0,55.0
46,2022-06-11,41.318181818,454.5,11,33.0,65.0
47,2022-01-17,11.678,291.95,25,7.5,20.0
48,2022-02-19,40.153703704,1084.15,27,35.0,55.0
49,2022-02-09,38.599852941,2624.79,68,30.0,130.0
50,2022-07-11,29.266666667,87.8,3,29.0,29.4
51,2022-06-19,31.666666667,95.0,3,27.0,37.0
52,2022-02-14,44.153076923,573.99,13,39.0,64.99
53,2022-04-23,41.620625,1997.79,48,33.0,139.0
54,2022-07-26,25.358888889,228.23,9,22.99,39.0
55,2022-07-05,36.484,182.42,5,30.0,45.0
56,2022-06-02,37.809090909,415.9,11,35.0,42.0
57,2022-04-18,20.146470588,342.49,17,10.0,30.0
58,2022-07-14,40.79,81.58,2,39.0,42.58
59,2022-02-25,37.498333333,224.99,6,30.0,45.0
60,2022-05-24,24.5,49.0,2,24.5,24.5
61,2022-04-02,17.665,211.98,12,15.0,32.5
62,2022-05-16,27.3,136.5,5,26.0,28.5
63,2022-03-07,22.328571429,312.6,14,18.6,45.0
64,2022-03-18,17.811176471,302.79,17,16.69,19.0
65,2022-04-17,20.955452174,481.9754,23,17.45,50.0
66,2022-06-30,49.0,294.0,6,30.0,69.0
67,2022-06-23,32.966666667,98.9,3,29.9,38.0
68,2022-01-25,12.05816129,1869.015,155,6.0,90.5
69,2022-05-21,26.725,106.9,4,26.0,28.0
70,2022-03-20,19.27,192.7,10,17.5,23.5
71,2022-03-26,21.211052632,806.02,38,14.87,69.0
72,2022-02-12,43.582637363,3966.02,91,0.0,199.0
73,2022-04-03,15.416666667,92.5,6,15.0,16.2
74,2022-05-26,27.21125,435.38,16,24.0,39.69
75,2022-07-17,26.41523,158.49138,6,24.42069,31.4
76,2022-07-06,31.225,124.9,4,30.0,33.9
77,2022-02-11,50.476666667,2271.45,45,30.0,250.0
78,2022-03-02,21.9246875,701.59,32,3.0,50.0
79,2022-03-19,20.128787879,664.25,33,17.8,22.9
80,2022-06-17,35.375,141.5,4,33.5,38.0
81,2022-03-08,21.45,257.4,12,18.0,35.0
82,2022-04-29,35.485,709.7,20,31.9,42.0
83,2022-02-22,41.35,744.3,18,36.0,55.5
84,2022-05-18,31.0,124.0,4,27.0,35.0
85,2022-04-04,21.663333333,64.99,3,14.99,35.0
86,2022-06-18,34.0,34.0,1,34.0,34.0
87,2022-01-30,19.263737374,1907.11,99,9.0,95.0
88,2022-04-16,21.318,319.77,15,17.4,42.0
89,2022-02-27,30.342857143,637.2,21,27.0,40.0
90,2022-07-08,30.99,92.97,3,30.98,31.0
91,2022-06-21,33.4,400.8,12,27.0,70.0
92,2022-05-13,24.806666667,372.1,15,21.0,33.0
93,2022-03-15,19.206981132,1017.97,53,10.0,40.0
94,2022-06-24,32.5,65.0,2,32.0,33.0
95,2022-04-14,17.11125,410.67,24,14.0,25.0
96,2022-04-27,36.346666667,654.24,18,30.0,59.95
97,2022-03-12,19.107142857,267.5,14,16.9,25.55
98,2022-02-28,36.625,439.5,12,28.0,65.0
99,2022-07-03,40.0,40.0,1,40.0,40.0
100,2022-06-10,32.65,195.9,6,25.0,38.0
101,2022-03-17,18.881666667,113.29,6,17.9,19.4
102,2022-05-19,28.2,197.4,7,23.0,38.0
103,2022-06-09,35.0,315.0,9,31.5,40.0
104,2022-03-09,20.1,221.1,11,17.0,25.0
105,2022-05-12,24.498181818,269.48,11,22.0,29.0
106,2022-07-13,29.5,59.0,2,29.0,30.0
107,2022-02-05,31.779130435,1461.84,46,20.0,80.0
108,2022-04-20,26.042227744,2291.71604143,88,19.0,45.0
109,2022-05-04,51.013571429,714.19,14,36.9,200.0
110,2022-04-25,38.141219512,1563.79,41,31.9,65.0
111,2022-01-31,22.349599259,3017.1959,135,10.0,69.0
112,2022-05-29,30.29,151.45,5,27.0,35.0
113,2022-04-15,21.808333333,261.7,12,18.5,30.0
114,2022-05-27,30.5,122.0,4,30.0,31.0
115,2022-02-04,35.943571429,1509.63,42,23.8,100.0
116,2022-04-21,38.21485,4585.782,120,30.0,170.0
117,2022-07-12,28.666666667,86.0,3,28.5,29.0
118,2022-06-29,43.6,218.0,5,32.0,60.0
119,2022-02-15,45.522857143,955.98,21,33.0,125.0
120,2022-04-11,15.450769231,200.86,13,14.0,18.18
121,2022-03-28,25.9285,518.57,20,17.0,70.0
122,2022-03-30,19.806428571,277.29,14,16.0,35.0
123,2022-04-12,16.787392857,235.0235,14,12.0,26.0
124,2022-03-23,19.090909091,210.0,11,17.9,21.0
125,2022-05-06,35.8975,287.18,8,32.0,38.69
126,2022-05-25,25.014285714,175.1,7,24.0,28.5
127,2022-05-05,45.0,270.0,6,33.0,70.0
128,2022-07-19,51.710345,103.42069,2,24.42069,79.0
129,2022-04-24,45.885333333,2064.84,45,33.0,150.0
130,2022-05-11,39.7,238.2,6,25.0,55.5
131,2022-05-30,42.982727273,472.81,11,28.5,161.3
132,2022-03-14,30.944444444,278.5,9,16.0,120.0
133,2022-07-24,23.496666667,70.49,3,23.49,23.5
134,2022-07-27,25.8,129.0,5,24.0,30.0
135,2022-02-02,43.559058296,9713.67,223,28.0,500.0
136,2022-06-07,35.38,176.9,5,33.0,42.4
137,2022-03-04,21.845714286,152.92,7,18.99,27.5
138,2022-05-07,36.1989,361.989,10,32.0,44.0
139,2022-04-22,39.849065421,4263.85,107,30.9,88.0
140,2022-05-14,25.6,153.6,6,24.8,29.0
141,2022-06-27,39.483333333,118.45,3,31.89,52.0
142,2022-04-28,36.85625,589.7,16,31.7,59.0
143,2022-06-05,34.142857143,239.0,7,32.0,38.5
144,2022-05-09,40.625,162.5,4,32.0,49.0
145,2022-07-07,31.833333333,95.5,3,30.5,33.0
146,2022-07-01,31.5,31.5,1,31.5,31.5
147,2022-02-03,49.180946809,4623.009,94,33.0,190.0
148,2022-03-22,20.1,140.7,7,18.0,24.5
149,2022-02-26,31.075,372.9,12,28.0,39.0
150,2022-03-24,19.725,157.8,8,17.0,24.0
151,2022-05-22,28.133333333,168.8,6,24.9,40.0
152,2022-04-10,13.959731579,265.2349,19,10.0,16.0
153,2022-03-29,18.408181818,202.49,11,14.0,30.0
154,2022-05-10,29.833333333,89.5,3,29.5,30.0
155,2022-07-16,28.5,114.0,4,25.0,34.0
156,2022-07-25,26.425,105.7,4,21.5,33.0
157,2022-06-28,32.633333333,97.9,3,30.0,35.0
158,2022-04-01,17.527857143,245.39,14,15.0,25.0
159,2022-03-31,16.985714286,118.9,7,15.5,22.9
160,2022-07-23,23.0,23.0,1,23.0,23.0
161,2022-01-29,16.438715271,969.884201,59,13.0,35.5
162,2022-03-16,21.051538462,273.67,13,18.5,30.0
163,2022-04-06,21.799666667,65.399,3,12.399,33.0
