,DATETIME,AVERAGE_SALE_NEAR,TOTAL_SALE_NEAR,TOTAL_TX,CHEAPEST_NFT,MOST_EXPENSIVE_NFT
0,2022-06-03,265.0,265.0,1,265.0,265.0
1,2022-05-28,250.0,250.0,1,250.0,250.0
2,2022-05-08,309.0,309.0,1,309.0,309.0
3,2022-02-13,379.333333333,1138.0,3,369.0,400.0
4,2022-06-14,250.0,250.0,1,250.0,250.0
5,2022-06-13,260.0,260.0,1,260.0,260.0
6,2022-03-21,280.0,560.0,2,280.0,280.0
7,2022-02-18,287.5,1725.0,6,275.0,299.0
8,2022-04-07,245.0,245.0,1,245.0,245.0
9,2022-05-20,269.0,269.0,1,269.0,269.0
10,2022-02-10,213.0,1917.0,9,185.0,300.0
11,2022-02-17,297.333333333,892.0,3,282.0,325.0
12,2022-06-15,255.0,255.0,1,255.0,255.0
13,2022-05-13,295.0,590.0,2,275.0,315.0
14,2022-02-28,318.0,954.0,3,299.0,340.0
15,2022-03-15,249.666666667,749.0,3,235.0,270.0
16,2022-04-14,563.0,1126.0,2,238.0,888.0
17,2022-03-12,238.345,476.69,2,234.0,242.69
18,2022-04-27,259.69,259.69,1,259.69,259.69
19,2022-03-23,290.0,290.0,1,290.0,290.0
20,2022-05-06,345.0,690.0,2,340.0,350.0
21,2022-04-12,225.0,225.0,1,225.0,225.0
22,2022-05-05,340.0,340.0,1,340.0,340.0
23,2022-05-25,337.5,675.0,2,275.0,400.0
24,2022-01-28,15.893,476.79,30,13.8,22.99
25,2022-05-01,270.0,270.0,1,270.0,270.0
26,2022-07-02,215.0,215.0,1,215.0,215.0
27,2022-01-25,6.712941176,228.24,34,3.5,20.0
28,2022-02-12,520.333333333,1561.0,3,395.0,666.0
29,2022-04-03,247.5,495.0,2,245.0,250.0
30,2022-05-21,272.0,272.0,1,272.0,272.0
31,2022-01-30,46.836315789,889.89,19,15.0,65.0
32,2022-04-16,235.0,235.0,1,235.0,235.0
33,2022-02-03,82.470645161,2556.59,31,57.0,225.0
34,2022-03-18,263.23,789.69,3,250.0,270.0
35,2022-04-17,270.0,270.0,1,270.0,270.0
36,2022-06-23,260.0,260.0,1,260.0,260.0
37,2022-03-07,199.9,199.9,1,199.9,199.9
38,2022-06-30,235.0,235.0,1,235.0,235.0
39,2022-05-11,260.0,780.0,3,220.0,330.0
40,2022-04-24,340.0,340.0,1,340.0,340.0
41,2022-02-08,188.033333333,5641.0,30,148.0,230.0
42,2022-03-01,308.0,924.0,3,290.0,320.0
43,2022-02-25,360.0,360.0,1,360.0,360.0
44,2022-06-02,330.0,330.0,1,330.0,330.0
45,2022-05-24,324.5,649.0,2,299.0,350.0
46,2022-07-05,260.0,260.0,1,260.0,260.0
47,2022-01-31,47.798571429,334.59,7,39.69,54.9
48,2022-02-05,163.315789474,3103.0,19,135.0,249.0
49,2022-04-20,269.75,1079.0,4,249.0,295.0
50,2022-04-15,239.5,1437.0,6,233.0,265.0
51,2022-05-27,210.0,210.0,1,210.0,210.0
52,2022-04-01,187.0,1122.0,6,174.0,210.0
53,2022-07-16,208.75,835.0,4,185.0,235.0
54,2022-03-29,200.0,200.0,1,200.0,200.0
55,2022-01-27,12.731351351,471.06,37,9.5,22.0
56,2022-02-19,289.0,578.0,2,280.0,298.0
57,2022-02-07,160.428571429,1123.0,7,149.0,180.0
58,2022-05-02,317.776666667,953.33,3,310.0,333.33
59,2022-07-11,199.987654321,199.987654321,1,199.987654321,199.987654321
60,2022-02-09,200.0,1000.0,5,185.0,230.0
61,2022-06-19,264.0,264.0,1,264.0,264.0
62,2022-02-04,114.975954545,2529.471,22,96.0,150.0
63,2022-04-21,271.333333333,814.0,3,250.0,299.0
64,2022-07-12,259.5,519.0,2,220.0,299.0
65,2022-03-28,209.0,418.0,2,203.0,215.0
66,2022-02-15,344.443333333,1033.33,3,330.0,370.0
67,2022-01-29,27.830731707,1141.06,41,17.0,65.5
68,2022-03-10,207.0,1035.0,5,195.0,240.0
69,2022-03-16,244.69,244.69,1,244.69,244.69
70,2022-04-06,275.0,275.0,1,275.0,275.0
71,2022-07-20,230.0,230.0,1,230.0,230.0
72,2022-01-26,8.086842105,460.95,57,0.0,16.0
73,2022-06-12,265.0,265.0,1,265.0,265.0
74,2022-06-08,220.5,441.0,2,211.0,230.0
75,2022-03-03,275.0,275.0,1,275.0,275.0
76,2022-07-17,217.375,869.5,4,199.0,239.0
77,2022-07-06,238.0,238.0,1,238.0,238.0
78,2022-03-17,297.5,1190.0,4,245.0,400.0
79,2022-06-09,220.0,220.0,1,220.0,220.0
80,2022-07-28,175.0,175.0,1,175.0,175.0
81,2022-05-19,265.0,265.0,1,265.0,265.0
82,2022-03-09,175.0,175.0,1,175.0,175.0
83,2022-05-31,255.0,255.0,1,255.0,255.0
84,2022-05-23,271.0,813.0,3,269.0,274.0
85,2022-05-15,297.69,595.38,2,294.69,300.69
86,2022-04-30,289.5,579.0,2,280.0,299.0
87,2022-02-01,54.027,540.27,10,40.0,99.0
88,2022-06-01,287.5,575.0,2,275.0,300.0
89,2022-02-11,309.411764706,5260.0,17,220.0,450.0
90,2022-03-19,280.0,280.0,1,280.0,280.0
91,2022-03-08,199.5,798.0,4,188.0,220.0
92,2022-02-22,278.475,1113.9,4,260.0,299.9
93,2022-04-29,255.0,255.0,1,255.0,255.0
94,2022-06-18,260.0,260.0,1,260.0,260.0
95,2022-02-02,49.491954545,1088.823,22,40.0,65.0
96,2022-02-21,245.0,490.0,2,245.0,245.0
97,2022-02-06,124.769230769,1622.0,13,100.0,150.0
98,2022-02-24,399.0,399.0,1,399.0,399.0
99,2022-02-16,284.9975,1139.99,4,235.0,349.99
100,2022-05-03,325.0,325.0,1,325.0,325.0
101,2022-02-20,245.0,245.0,1,245.0,245.0
102,2022-06-16,250.0,250.0,1,250.0,250.0
103,2022-03-13,244.0,244.0,1,244.0,244.0
104,2022-04-02,235.25,1882.0,8,199.0,300.0
105,2022-05-16,324.5,649.0,2,280.0,369.0
106,2022-04-22,323.5,2588.0,8,288.0,350.0
107,2022-07-01,235.0,235.0,1,235.0,235.0
108,2022-04-28,268.345,536.69,2,266.69,270.0
109,2022-04-08,288.0,288.0,1,288.0,288.0
110,2022-06-22,240.0,480.0,2,240.0,240.0
111,2022-03-11,250.8138,1254.069,5,219.0,350.0
